{'seed': 2028, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 512, 'num_hirearchy': 3, 'begin_adv': 10, 'ema': 0.7, 'main_file': '2025041916_0.001_0.001_10_0.7_512', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 512, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10, 'ema': 0.7}, 'n_users': 38441, 'n_items': 38000}, 'checkpoints': 'checkpoints'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 512, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10, 'ema': 0.7}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.6867, Time: 6.89
Epoch 1: Rec Loss: 0.6610, Time: 6.88
Epoch 2: Rec Loss: 0.6067, Time: 6.88
Epoch 3: Rec Loss: 0.4745, Time: 6.88
Epoch 4: Rec Loss: 0.3140, Time: 6.88
Epoch 5: Rec Loss: 0.2188, Time: 6.88
Epoch 6: Rec Loss: 0.1739, Time: 6.85
Epoch 7: Rec Loss: 0.1505, Time: 6.81
Epoch 8: Rec Loss: 0.1367, Time: 6.86
Epoch 9: Rec Loss: 0.1275, Time: 6.85
Epoch 10: Rec Loss: 0.0740, Time: 12.23
Epoch 11: Rec Loss: 0.0707, Time: 12.23
Epoch 12: Rec Loss: 0.0701, Time: 12.22
Epoch 13: Rec Loss: 0.0678, Time: 12.23
Epoch 14: Rec Loss: 0.0657, Time: 12.25
Epoch 15: Rec Loss: 0.0632, Time: 12.26
Epoch 16: Rec Loss: 0.0611, Time: 12.39
Epoch 17: Rec Loss: 0.0590, Time: 12.31
Epoch 18: Rec Loss: 0.0565, Time: 12.14
Epoch 19: Rec Loss: 0.0546, Time: 12.10
Validation - Time: 152.38
Recommendation Performanceat Epoch 19:
Recall@20: 0.0558, NDCG@20: 0.0322;
Recall@50: 0.1057, NDCG@50: 0.0468;
Epoch 20: Rec Loss: 0.0532, Time: 12.27
Epoch 21: Rec Loss: 0.0520, Time: 12.27
Epoch 22: Rec Loss: 0.0516, Time: 12.27
Epoch 23: Rec Loss: 0.0501, Time: 12.31
Epoch 24: Rec Loss: 0.0500, Time: 12.27
Epoch 25: Rec Loss: 0.0494, Time: 12.27
Epoch 26: Rec Loss: 0.0489, Time: 12.24
Epoch 27: Rec Loss: 0.0483, Time: 12.25
Epoch 28: Rec Loss: 0.0476, Time: 12.25
Epoch 29: Rec Loss: 0.0472, Time: 12.23
Epoch 30: Rec Loss: 0.0466, Time: 12.22
Epoch 31: Rec Loss: 0.0466, Time: 12.23
Epoch 32: Rec Loss: 0.0464, Time: 12.22
Epoch 33: Rec Loss: 0.0460, Time: 12.23
Epoch 34: Rec Loss: 0.0457, Time: 12.22
Epoch 35: Rec Loss: 0.0457, Time: 12.22
Epoch 36: Rec Loss: 0.0455, Time: 12.22
Epoch 37: Rec Loss: 0.0450, Time: 12.23
Epoch 38: Rec Loss: 0.0447, Time: 12.06
Epoch 39: Rec Loss: 0.0444, Time: 12.04
Validation - Time: 152.04
Recommendation Performanceat Epoch 39:
Recall@20: 0.0606, NDCG@20: 0.0353;
Recall@50: 0.1130, NDCG@50: 0.0506;
Epoch 40: Rec Loss: 0.0441, Time: 12.23
Epoch 41: Rec Loss: 0.0439, Time: 12.23
Epoch 42: Rec Loss: 0.0434, Time: 12.23
Epoch 43: Rec Loss: 0.0434, Time: 12.23
Epoch 44: Rec Loss: 0.0431, Time: 12.22
Epoch 45: Rec Loss: 0.0428, Time: 12.21
Epoch 46: Rec Loss: 0.0428, Time: 12.23
Epoch 47: Rec Loss: 0.0423, Time: 12.12
Epoch 48: Rec Loss: 0.0423, Time: 12.26
Epoch 49: Rec Loss: 0.0421, Time: 12.18
Epoch 50: Rec Loss: 0.0418, Time: 12.13
Epoch 51: Rec Loss: 0.0418, Time: 12.12
Epoch 52: Rec Loss: 0.0419, Time: 12.14
Epoch 53: Rec Loss: 0.0411, Time: 12.09
Epoch 54: Rec Loss: 0.0410, Time: 12.10
Epoch 55: Rec Loss: 0.0411, Time: 12.11
Epoch 56: Rec Loss: 0.0411, Time: 12.10
Epoch 57: Rec Loss: 0.0407, Time: 12.12
Epoch 58: Rec Loss: 0.0407, Time: 11.95
Epoch 59: Rec Loss: 0.0405, Time: 11.95
Validation - Time: 156.80
Recommendation Performanceat Epoch 59:
Recall@20: 0.0645, NDCG@20: 0.0383;
Recall@50: 0.1211, NDCG@50: 0.0548;
Epoch 60: Rec Loss: 0.0401, Time: 12.14
Epoch 61: Rec Loss: 0.0399, Time: 12.12
Epoch 62: Rec Loss: 0.0401, Time: 12.14
Epoch 63: Rec Loss: 0.0398, Time: 12.15
Epoch 64: Rec Loss: 0.0397, Time: 12.15
Epoch 65: Rec Loss: 0.0396, Time: 12.16
Epoch 66: Rec Loss: 0.0395, Time: 12.15
Epoch 67: Rec Loss: 0.0391, Time: 12.14
Epoch 68: Rec Loss: 0.0391, Time: 12.24
Epoch 69: Rec Loss: 0.0389, Time: 12.27
Epoch 70: Rec Loss: 0.0389, Time: 12.22
Epoch 71: Rec Loss: 0.0387, Time: 12.13
Epoch 72: Rec Loss: 0.0387, Time: 12.13
Epoch 73: Rec Loss: 0.0383, Time: 12.14
Epoch 74: Rec Loss: 0.0384, Time: 12.14
Epoch 75: Rec Loss: 0.0382, Time: 12.18
Epoch 76: Rec Loss: 0.0381, Time: 12.18
Epoch 77: Rec Loss: 0.0381, Time: 12.25
Epoch 78: Rec Loss: 0.0380, Time: 12.08
Epoch 79: Rec Loss: 0.0378, Time: 12.04
Validation - Time: 151.02
Recommendation Performanceat Epoch 79:
Recall@20: 0.0688, NDCG@20: 0.0404;
Recall@50: 0.1264, NDCG@50: 0.0572;
Epoch 80: Rec Loss: 0.0379, Time: 12.23
Epoch 81: Rec Loss: 0.0379, Time: 12.21
Epoch 82: Rec Loss: 0.0377, Time: 12.23
Epoch 83: Rec Loss: 0.0375, Time: 12.23
