{'seed': 2028, 'model': 'LightGCN', 'dataset': 'Yelp', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 256, 'num_hirearchy': 3, 'main_file': '2025041611_0.001_0.001_256', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}, 'n_users': 31668, 'n_items': 38048}, 'checkpoints': 'checkpoints'}
LightGCN
{'device': device(type='cuda'), 'dim': 64, 'n_layers': 4, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 31668, #Item: 38048, #Ratings: 1561406, AvgLen: 49.3, Sparsity: 99.88
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.3845, Time: 15.47
Epoch 1: Rec Loss: 0.1826, Time: 15.46
Epoch 2: Rec Loss: 0.1720, Time: 15.48
Epoch 3: Rec Loss: 0.1669, Time: 15.48
Epoch 4: Rec Loss: 0.1623, Time: 15.48
Epoch 5: Rec Loss: 0.1589, Time: 15.46
Epoch 6: Rec Loss: 0.1557, Time: 15.46
Epoch 7: Rec Loss: 0.1514, Time: 15.45
Epoch 8: Rec Loss: 0.1473, Time: 15.50
Epoch 9: Rec Loss: 0.1443, Time: 15.48
Epoch 10: Rec Loss: 0.1049, Time: 19.62
Epoch 11: Rec Loss: 0.1068, Time: 19.61
Epoch 12: Rec Loss: 0.0976, Time: 19.77
Epoch 13: Rec Loss: 0.1022, Time: 19.60
Epoch 14: Rec Loss: 0.1001, Time: 19.59
Epoch 15: Rec Loss: 0.1019, Time: 19.59
Epoch 16: Rec Loss: 0.0994, Time: 19.61
Epoch 17: Rec Loss: 0.0996, Time: 19.60
Epoch 18: Rec Loss: 0.0935, Time: 19.61
Epoch 19: Rec Loss: 0.1035, Time: 19.61
Validation - Time: 183.81
Recommendation Performanceat Epoch 19:
Recall@20: 0.0541, NDCG@20: 0.0353;
Recall@50: 0.1027, NDCG@50: 0.0513;
Epoch 20: Rec Loss: 0.0978, Time: 19.60
Epoch 21: Rec Loss: 0.1037, Time: 19.59
Epoch 22: Rec Loss: 0.0983, Time: 19.61
Epoch 23: Rec Loss: 0.0953, Time: 19.62
Epoch 24: Rec Loss: 0.0953, Time: 19.61
Epoch 25: Rec Loss: 0.1037, Time: 19.62
Epoch 26: Rec Loss: 0.1014, Time: 19.63
Epoch 27: Rec Loss: 0.0969, Time: 19.59
Epoch 28: Rec Loss: 0.0997, Time: 19.61
Epoch 29: Rec Loss: 0.0993, Time: 19.61
Epoch 30: Rec Loss: 0.0994, Time: 19.61
Epoch 31: Rec Loss: 0.0986, Time: 19.60
Epoch 32: Rec Loss: 0.0968, Time: 19.63
Epoch 33: Rec Loss: 0.0975, Time: 19.63
Epoch 34: Rec Loss: 0.0968, Time: 19.62
Epoch 35: Rec Loss: 0.0975, Time: 19.62
Epoch 36: Rec Loss: 0.0967, Time: 19.62
Epoch 37: Rec Loss: 0.0964, Time: 19.62
Epoch 38: Rec Loss: 0.0948, Time: 19.64
Epoch 39: Rec Loss: 0.0956, Time: 19.62
Validation - Time: 183.69
Recommendation Performanceat Epoch 39:
Recall@20: 0.0579, NDCG@20: 0.0380;
Recall@50: 0.1104, NDCG@50: 0.0552;
Epoch 40: Rec Loss: 0.0935, Time: 19.61
Epoch 41: Rec Loss: 0.0950, Time: 19.61
Epoch 42: Rec Loss: 0.0946, Time: 19.58
Epoch 43: Rec Loss: 0.0921, Time: 19.59
Epoch 44: Rec Loss: 0.0930, Time: 19.58
Epoch 45: Rec Loss: 0.0943, Time: 19.69
Epoch 46: Rec Loss: 0.0944, Time: 19.60
Epoch 47: Rec Loss: 0.0943, Time: 19.95
Epoch 48: Rec Loss: 0.0935, Time: 19.67
Epoch 49: Rec Loss: 0.0925, Time: 19.63
Epoch 50: Rec Loss: 0.0945, Time: 19.72
Epoch 51: Rec Loss: 0.0918, Time: 19.61
Epoch 52: Rec Loss: 0.0916, Time: 19.61
Epoch 53: Rec Loss: 0.0930, Time: 19.61
Epoch 54: Rec Loss: 0.0926, Time: 19.60
Epoch 55: Rec Loss: 0.0925, Time: 19.58
Epoch 56: Rec Loss: 0.0921, Time: 19.60
Epoch 57: Rec Loss: 0.0916, Time: 19.59
Epoch 58: Rec Loss: 0.0914, Time: 19.59
Epoch 59: Rec Loss: 0.0923, Time: 19.60
Validation - Time: 184.23
Recommendation Performanceat Epoch 59:
Recall@20: 0.0603, NDCG@20: 0.0397;
Recall@50: 0.1156, NDCG@50: 0.0578;
Epoch 60: Rec Loss: 0.0929, Time: 19.57
Epoch 61: Rec Loss: 0.0920, Time: 19.61
Epoch 62: Rec Loss: 0.0913, Time: 19.57
Epoch 63: Rec Loss: 0.0914, Time: 19.58
Epoch 64: Rec Loss: 0.0904, Time: 19.58
Epoch 65: Rec Loss: 0.0890, Time: 19.56
Epoch 66: Rec Loss: 0.0855, Time: 19.59
Epoch 67: Rec Loss: 0.0907, Time: 19.58
Epoch 68: Rec Loss: 0.0910, Time: 19.59
Epoch 69: Rec Loss: 0.0902, Time: 19.58
Epoch 70: Rec Loss: 0.0895, Time: 19.58
Epoch 71: Rec Loss: 0.0913, Time: 19.59
Epoch 72: Rec Loss: 0.0896, Time: 19.59
Epoch 73: Rec Loss: 0.0907, Time: 19.56
Epoch 74: Rec Loss: 0.0898, Time: 19.59
Epoch 75: Rec Loss: 0.0910, Time: 19.59
Epoch 76: Rec Loss: 0.0905, Time: 19.58
Epoch 77: Rec Loss: 0.0899, Time: 19.61
Epoch 78: Rec Loss: 0.0893, Time: 19.59
Epoch 79: Rec Loss: 0.0902, Time: 19.58
Validation - Time: 183.53
Recommendation Performanceat Epoch 79:
Recall@20: 0.0620, NDCG@20: 0.0407;
Recall@50: 0.1187, NDCG@50: 0.0593;
Epoch 80: Rec Loss: 0.0902, Time: 19.54
Epoch 81: Rec Loss: 0.0899, Time: 19.60
Epoch 82: Rec Loss: 0.0900, Time: 19.58
Epoch 83: Rec Loss: 0.0902, Time: 19.57
Epoch 84: Rec Loss: 0.0896, Time: 19.62
Epoch 85: Rec Loss: 0.0898, Time: 19.59
Epoch 86: Rec Loss: 0.0897, Time: 19.59
Epoch 87: Rec Loss: 0.0881, Time: 19.62
Epoch 88: Rec Loss: 0.0896, Time: 19.60
Epoch 89: Rec Loss: 0.0878, Time: 19.59
Epoch 90: Rec Loss: 0.0880, Time: 19.60
Epoch 91: Rec Loss: 0.0882, Time: 19.55
Epoch 92: Rec Loss: 0.0894, Time: 19.56
Epoch 93: Rec Loss: 0.0889, Time: 19.59
Epoch 94: Rec Loss: 0.0894, Time: 19.57
Epoch 95: Rec Loss: 0.0884, Time: 19.56
Epoch 96: Rec Loss: 0.0875, Time: 19.57
Epoch 97: Rec Loss: 0.0896, Time: 19.57
Epoch 98: Rec Loss: 0.0897, Time: 19.57
Epoch 99: Rec Loss: 0.0899, Time: 19.56
Validation - Time: 184.10
Recommendation Performanceat Epoch 99:
Recall@20: 0.0633, NDCG@20: 0.0416;
Recall@50: 0.1214, NDCG@50: 0.0606;
Test - Time: 295.16
Recommendation Performance:
Recall@20: 0.0638, NDCG@20: 0.0495;
Recall@50: 0.1221, NDCG@50: 0.0722;
